Connected. Use ^D to exit.
-> ls -t /
Target             | Property              | Value                             
-------------------+-----------------------+-----------------------------------
/HOST              | autorestart           | reset
/HOST              | autorunonerror        | false
/HOST              | bootfailrecovery      | poweroff
/HOST              | bootrestart           | none
/HOST              | boottimeout           | 0
/HOST              | hypervisor_version    | Hypervisor 1.11.6.c 2017/03/22 
                   |                       | 14:31
/HOST              | macaddress            | 00:21:28:d2:33:64
/HOST              | maxbootfail           | 3
/HOST              | obp_version           | OpenBoot 4.34.6.c 2017/03/22 
                   |                       | 13:55
/HOST              | post_version          | POST 4.34.6.c 2017/03/22 14:03
/HOST              | send_break_action     | (Cannot show property)
/HOST              | status                | Solaris running
/HOST              | sysfw_version         | Sun System Firmware 8.3.40.a 
                   |                       | 2018/02/15 10:25
/HOST/bootmode     | config                | factory-default
/HOST/bootmode     | expires               | (none)
/HOST/bootmode     | script                | (none)
/HOST/bootmode     | state                 | normal
/HOST/console      | escapechars           | #.
/HOST/console      | line_count            | 0
/HOST/console      | logging               | enabled
/HOST/console      | pause_count           | 0
/HOST/console      | start_from            | end
/HOST/diag         | error_reset_level     | min
/HOST/diag         | error_reset_verbosity | max
/HOST/diag         | hw_change_level       | min
/HOST/diag         | hw_change_verbosity   | max
/HOST/diag         | level                 | min
/HOST/diag         | mode                  | normal
/HOST/diag         | power_on_level        | min
/HOST/diag         | power_on_verbosity    | max
/HOST/diag         | trigger               | hw-change error-reset
/HOST/diag         | verbosity             | max
/HOST/domain/      | auto-boot             | enabled
 control           |                       | 
/HOST/domain/      | boot_guests           | enabled
 control           |                       | 
/HOST/tpm          | activate              | false
/HOST/tpm          | enable                | false
/HOST/tpm          | forceclear            | false
/SYS               | type                  | Host System
/SYS               | ipmi_name             | /SYS
/SYS               | keyswitch_state       | Normal
/SYS               | product_name          | SPARC T3-1
/SYS               | product_part_number   | 30052145+1+1
/SYS               | product_serial_number | 1135BDRC93
/SYS               | product_manufacturer  | Oracle Corporation
/SYS               | fault_state           | OK
/SYS               | clear_fault_action    | (none)
/SYS               | power_state           | On
/SYS/CONNBD        | type                  | Paddle Card
/SYS/CONNBD        | ipmi_name             | PADCRD
/SYS/CONNBD        | fru_name              | CONNBD
/SYS/CONNBD        | fru_description       | BD,LOUISE,PADDLE
/SYS/CONNBD        | fru_manufacturer      | 9615 HON HAI PRECISION CO. LTD 
                   |                       | SHENZHEN GUANGDONG CN
/SYS/CONNBD        | fru_part_number       | 541-3490-03
/SYS/CONNBD        | fru_rev_level         | 50
/SYS/CONNBD        | fru_serial_number     | 0226LHF-1126FG002T
/SYS/DVD           | type                  | DVD
/SYS/FANBD         | type                  | Front Fan Board
/SYS/FANBD         | ipmi_name             | FB
/SYS/FANBD         | fru_name              | FANBD
/SYS/FANBD         | fru_description       | BD,LOUISE,FAN_BRD
/SYS/FANBD         | fru_manufacturer      | 9615 HON HAI PRECISION CO. LTD 
                   |                       | SHENZHEN GUANGDONG CN
/SYS/FANBD         | fru_part_number       | 541-4124-04
/SYS/FANBD         | fru_rev_level         | 50
/SYS/FANBD         | fru_serial_number     | 0226LHF-1126F50697
/SYS/FANBD         | fault_state           | OK
/SYS/FANBD         | clear_fault_action    | (none)
/SYS/FANBD/FM0     | type                  | Front Fan
/SYS/FANBD/FM0     | fault_state           | OK
/SYS/FANBD/FM0     | clear_fault_action    | (none)
/SYS/FANBD/FM0/F0  | type                  | Fan
/SYS/FANBD/FM0/F0/ | type                  | Fan
 TACH              |                       | 
